x_m,y_m
-1.722117681307497434e+06,-3.531373851873973035e+05
-1.722182561065976508e+06,-3.538835024099081056e+05
-1.721663522998142987e+06,-3.552135374587316765e+05
-1.720593006983236177e+06,-3.566084522660344373e+05
-1.719944209398444276e+06,-3.583277658657331485e+05
-1.719587370726808673e+06,-3.592360824844419258e+05
-1.718646614228860242e+06,-3.601768389823902980e+05
-1.717997816644068342e+06,-3.607931966879427200e+05
-1.717381458938515978e+06,-3.620907918575266958e+05
-1.717186819663078291e+06,-3.633559471478710184e+05
-1.716927300629161531e+06,-3.644264631627778290e+05
-1.716246063165129861e+06,-3.654320994192053913e+05
-1.715084690591529477e+06,-3.659727383758814540e+05
-1.714700113946249010e+06,-3.677997018243644270e+05
-1.713699722165456507e+06,-3.696746749222539947e+05
-1.713699975466587115e+06,-3.729247971674224245e+05
-1.714324932179187890e+06,-3.741750894675122108e+05
-1.714699689241973916e+06,-3.745496806550141191e+05
-1.715199742439298425e+06,-3.746751813173166011e+05
-1.715825572338142199e+06,-3.751748037499318016e+05
-1.716200920504479203e+06,-3.759254796916472260e+05
-1.716649529653781792e+06,-3.770696477717884118e+05
-1.716343993884210009e+06,-3.782145670271817944e+05
-1.714903736616167706e+06,-3.793205290895618964e+05
-1.713450306237466168e+06,-3.818923567568613798e+05
-1.713204994273302378e+06,-3.868159861005355488e+05
-1.714079595711213071e+06,-3.894406455786063452e+05
-1.714952744210684905e+06,-3.911293269304754795e+05
-1.715176628131513949e+06,-3.920094898013420170e+05
-1.716414092318196082e+06,-3.931525691917648073e+05
-1.716989372453526594e+06,-3.934932538656152901e+05
-1.717568724722913466e+06,-3.937663430631447118e+05
-1.718983844240207225e+06,-3.942539500824352144e+05
-1.720013243643296883e+06,-3.940560366365080699e+05
-1.722514656904233620e+06,-3.940915635293673258e+05
-1.723040492892966839e+06,-3.952562546909105149e+05
-1.723990365049620392e+06,-3.952866068734314176e+05
-1.724468389262832934e+06,-3.946731008134157746e+05
-1.726102205360396300e+06,-3.946421052278421703e+05
-1.726763555737046758e+06,-3.940617739117363235e+05
-1.728563416265533771e+06,-3.940637731113062473e+05
-1.729014230171381962e+06,-3.936143736486717244e+05
-1.730364349453400820e+06,-3.936154089386030100e+05
-1.730976449806798482e+06,-3.933922010380936554e+05
-1.733129272766686743e+06,-3.933622713908594451e+05
-1.733882878557882737e+06,-3.937643603315927903e+05
-1.734413691406631377e+06,-3.940692191000301391e+05
-1.735304537799148820e+06,-3.946700922302553081e+05
-1.736278450477718376e+06,-3.942977839956707321e+05
-1.737639668651649728e+06,-3.950374912110124715e+05
-1.738094227968524443e+06,-3.959536505178933148e+05
-1.738291262112114113e+06,-3.980636352872828720e+05
-1.739297902109369636e+06,-4.005388778238802915e+05
-1.739341736509660957e+06,-4.016094517939545331e+05
-1.740938344558183802e+06,-4.016025697814323357e+05
-1.742108636633674847e+06,-4.019203215018586488e+05
-1.743106793902452569e+06,-4.020458766093049780e+05
-1.744432389802990481e+06,-4.017670936113123316e+05
-1.745111084659323096e+06,-4.017990512619036017e+05
-1.746419642407205887e+06,-4.023048410261914250e+05
-1.746986274707474280e+06,-4.032699712485236232e+05
-1.747832248678569449e+06,-4.031305713331509032e+05
-1.748284944708660711e+06,-4.025503389595569461e+05
-1.749061292913808487e+06,-4.010121629882916459e+05
-1.749148433977378998e+06,-4.001830851295203320e+05
-1.749700690633670660e+06,-3.998001331777528394e+05
-1.749199720641509397e+06,-3.987995482159401872e+05
-1.749825270196721656e+06,-3.978000940915952087e+05
